panel	gene_symbol	comparison	baseline_mean_diff	baseline_bh_q	n_loo_runs	sign_match_runs	sign_flip_runs	q05_retained_runs	q10_retained_runs
Oncology	CNPY4	PT2-PR2	0.553389	0.13248994335622813	10	10	0	0	2
Oncology_II	CDC26	PT2-PR2	0.55289	0.13248994335622813	10	10	0	1	1
Oncology_II	SCRIB	PT2-PR2	0.63492	0.13248994335622813	10	10	0	0	1
Oncology_II	FAM13A	PT2-PR2	0.99664	0.13291131449918514	10	10	0	0	2
Inflammation_II	NPHS1	PT2-PR2	-0.31646	0.1329507932112667	10	10	0	0	1
Cardiometabolic	CTSH	PT2-PR2	0.399689	0.1335075663420769	10	10	0	0	0
Cardiometabolic	ADAMTS13	PT2-PR2	0.09044	0.13359107511031193	10	10	0	1	1
Cardiometabolic	GDF2	PT2-PR2	0.249933	0.13359107511031193	10	10	0	0	0
Oncology	RNF41	PT2-PR2	0.643275	0.13359107511031193	10	10	0	0	2
Inflammation_II	PON1	PT2-PR2	0.163056	0.13520376988853722	10	10	0	0	1
Cardiometabolic_II	CNP	PT2-PR2	1.10792	0.13564832232760224	10	10	0	0	2
Cardiometabolic_II	EHBP1	PT2-PR2	0.97444	0.13583746298696894	10	10	0	0	2
Neurology	CD74	PT2-PR2	0.15011	0.13583746298696894	10	10	0	0	1
Cardiometabolic	REG3A	PT2-PR2	0.12911	0.13638983965633336	10	10	0	0	1
Cardiometabolic	TGFBI	PT2-PR2	0.17783	0.13638983965633336	10	10	0	0	1
Cardiometabolic_II	EXTL1	PT2-PR2	-0.311037	0.13638983965633336	10	10	0	0	0
Inflammation_II	APPL2	PT2-PR2	1.31791	0.13638983965633336	10	10	0	0	1
Inflammation_II	MDH1	PT2-PR2	0.279411	0.13638983965633336	10	10	0	0	2
Neurology_II	GPR158	PT2-PR2	-0.415211	0.13638983965633336	10	10	0	0	1
Cardiometabolic	LTBP2	PT2-PR2	0.09359	0.1368698518461681	10	10	0	0	1
Inflammation_II	MTDH	PT2-PR2	0.89502	0.1371808356751923	10	10	0	0	1
Neurology_II	MAP1LC3A	PT2-PR2	-0.645733	0.1371808356751923	10	10	0	0	0
Oncology_II	SDCCAG8	PT2-PR2	1.13025	0.13843209949213356	10	10	0	0	1
Inflammation	CXCL14	PT2-PR2	0.262156	0.13861438894078748	10	10	0	0	0
Inflammation	SPINT2	PT2-PR2	0.09923	0.13861438894078748	10	10	0	0	2
Oncology_II	TARS1	PT2-PR2	0.61852	0.13908004113476646	10	10	0	0	2
Cardiometabolic	IRAG2	PT2-PR2	1.16737	0.1393514004384314	10	10	0	0	1
Oncology_II	ACOT13	PT2-PR2	1.33834	0.1394237122719909	10	10	0	0	1
Cardiometabolic	COMT	PT2-PR2	0.7295	0.14050841081360826	10	10	0	0	2
Inflammation_II	F11	PT2-PR2	0.14353	0.14081302805373405	10	10	0	0	1
Inflammation_II	SELENOP	PT2-PR2	0.2909	0.14081302805373405	10	10	0	0	0
Inflammation_II	ESR1	PT2-PR2	-0.37674	0.14090769621129817	10	10	0	0	0
Cardiometabolic_II	SLC12A2	PT2-PR2	0.334087	0.14129952833858533	10	10	0	0	0
Neurology	IL7R	PT2-PR2	0.12332	0.14129952833858533	10	10	0	0	0
Oncology_II	IST1	PT2-PR2	0.93621	0.14129952833858533	10	10	0	0	1
Oncology_II	OGA	PT2-PR2	0.45108	0.14129952833858533	10	10	0	0	2
Cardiometabolic_II	CRYBB1	PT2-PR2	0.50211	0.14164575047065484	10	10	0	0	2
Cardiometabolic_II	C1GALT1C1	PT2-PR2	-0.467225	0.1416539841639817	10	10	0	0	0
Cardiometabolic	ANXA4	PT2-PR2	0.496167	0.14185331357945438	10	10	0	0	1
Inflammation	STX8	PT2-PR2	0.869425	0.14185331357945438	10	10	0	0	1
Cardiometabolic_II	USP47	PT2-PR2	0.4467	0.14263658816933536	10	10	0	0	0
Inflammation	GOPC	PT2-PR2	1.05521	0.14274657884572323	10	10	0	0	1
Cardiometabolic_II	NT5C	PT2-PR2	0.61492	0.14338459616241722	10	10	0	0	2
Neurology_II	SUOX	PT2-PR2	0.1795	0.14338459616241722	10	10	0	0	0
Inflammation_II	PSTPIP2	PT2-PR2	1.18787	0.14341129793065785	10	10	0	0	2
