pathway	collection	hits	set_size_universe	set_size_raw	foreground_size	universe_size	pvalue	fdr	hit_genes
KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNAQ_PLCB_G_CALCINEURIN_SIGNALING_PATHWAY	kegg	0	6	19	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_PATHOGEN_HSV_GD_TO_HVEM_NFKB_SIGNALING_PATHWAY	kegg	0	6	12	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_ACH_CHRN_RAS_ERK_SIGNALING_PATHWAY	kegg	0	6	21	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_CCR2_GNB_G_PI3K_NFKB_SIGNALING_PATHWAY	kegg	0	6	31	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_CD40_NFKB_SIGNALING_PATHWAY	kegg	0	6	8	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_CD80_CD86_CTLA4_PP2A_SIGNALING_PATHWAY	kegg	0	6	22	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_CXCR4_GNAQ_PLCB_G_CALCINEURIN_SIGNALING_PATHWAY	kegg	0	6	21	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_EGF_EGFR_PI3K_NFKB_SIGNALING_PATHWAY	kegg	0	6	14	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_EGF_ERBB2_RAS_ERK_SIGNALING_PATHWAY	kegg	0	6	16	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_GLYCOLYSIS	kegg	0	6	25	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_GNRH_GNRHR_PLCB_PKC_SIGNALING_PATHWAY	kegg	0	6	21	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_GPCR_PLCB_ITPR_SIGNALING_PATHWAY	kegg	0	6	50	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_MGLUR5_CA2_APOPTOTIC_PATHWAY	kegg	0	6	22	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS	kegg	0	6	62	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_PDGF_PDGFR_PI3K_SIGNALING_PATHWAY	kegg	0	6	13	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_TGF_BETA_SIGNALING_PATHWAY	kegg	0	6	8	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_TNF_NFKB_SIGNALING_PATHWAY	kegg	0	6	16	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_MGLUR5_CA2_APOPTOTIC_PATHWAY	kegg	0	6	22	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_MGLUR5_CA2_APOPTOTIC_PATHWAY	kegg	0	6	23	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS	kegg	0	5	19	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_ENV_FACTOR_E2_TO_NUCLEAR_INITIATED_ESTROGEN_SIGNALING_PATHWAY	kegg	0	5	7	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_ENV_FACTOR_METALS_TO_RAS_ERK_SIGNALING_PATHWAY	kegg	0	5	12	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_PI3K_SIGNALING_PATHWAY_N01350	kegg	0	5	12	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_PATHOGEN_HBV_HBX_TO_CREB_MEDIATED_TRANSCRIPTION	kegg	0	5	13	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_PATHOGEN_HCMV_GB_TO_PDGFR_RAS_ERK_SIGNALING_PATHWAY	kegg	0	5	15	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_TNF_NFKB_SIGNALING_PATHWAY	kegg	0	5	15	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_PATHOGEN_HIV_TAT_NEF_TO_CROSSTALK_BETWEEN_EXTRINSIC_AND_INTRINSIC_APOPTOTIC_PATHWAYS	kegg	0	5	8	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_PI3K_JNK_SIGNALING_PATHWAY	kegg	0	5	29	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY	kegg	0	5	30	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPGD_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY	kegg	0	5	29	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_ACTH_CORTISOL_SIGNALING_PATHWAY	kegg	0	5	32	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_ALTERNATIVE_PATHWAY_OF_COMPLEMENT_CASCADE_C3B_BREAKDOWN	kegg	0	5	5	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY	kegg	0	5	28	7	2920	1.000000e+00	1.000000e+00	
